og_#,#,,Name,Type,Total,HP,Attack,Defense,Sp. Atk,Sp.Def,Speed
"b""083 Farfetch'd Galarian Farfetch'dFighting  377 52 95 55 58 62 55""",001 BulbasaurGrass Poison 318 45 49 49 65 65 45,,,,,,,083 ,,,
"b""083 Farfetch'dNormal Flying 377 52 90 55 58 62 60""",002 IvysaurGrass Poison 405 60 62 63 80 80 60,,,,,,,083 ,,,
"b""741 Oricorio Pa'u StylePsychic Flying 476 75 70 70 98 70 93""",003 Mega Venusaur Grass Poison 625 80 100 123 122 120 80,,,,,,,741 ,,,
"b""865 Sirfetch'dFighting  507 62 135 95 68 82 65""",003 VenusaurGrass Poison 525 80 82 83 100 100 80,,,,,,,865 ,,,
b'001 BulbasaurGrass Poison 318 45 49 49 65 65 45',004 CharmanderFire  309 39 52 43 60 50 65,,,,,,,001 ,,,
b'002 IvysaurGrass Poison 405 60 62 63 80 80 60',005 CharmeleonFire  405 58 64 58 80 65 80,,,,,,,002 ,,,
b'003 Mega Venusaur Grass Poison 625 80 100 123 122 120 80',006 CharizardFire Flying 534 78 84 78 109 85 100,,,,,,,003 ,,,
b'003 VenusaurGrass Poison 525 80 82 83 100 100 80',006 Mega Charizard X Fire Dragon 634 78 130 111 130 85 100,,,,,,,003 ,,,
b'004 CharmanderFire  309 39 52 43 60 50 65',006 Mega Charizard Y Fire Flying 634 78 104 78 159 115 100,,,,,,,004 ,,,
b'005 CharmeleonFire  405 58 64 58 80 65 80',007 SquirtleWater  314 44 48 65 50 64 43,,,,,,,005 ,,,
b'006 CharizardFire Flying 534 78 84 78 109 85 100',008 WartortleWater  405 59 63 80 65 80 58,,,,,,,006 ,,,
b'006 Mega Charizard X Fire Dragon 634 78 130 111 130 85 100',009 BlastoiseWater  530 79 83 100 85 105 78,,,,,,,006 ,,,
b'006 Mega Charizard Y Fire Flying 634 78 104 78 159 115 100',009 Mega Blastoise Water  630 79 103 120 135 115 78,,,,,,,006 ,,,
b'007 SquirtleWater  314 44 48 65 50 64 43',010 CaterpieBug  195 45 30 35 20 20 45,,,,,,,007 ,,,
b'008 WartortleWater  405 59 63 80 65 80 58',011 MetapodBug  205 50 20 55 25 25 30,,,,,,,008 ,,,
b'009 BlastoiseWater  530 79 83 100 85 105 78',012 ButterfreeBug Flying 395 60 45 50 90 80 70,,,,,,,009 ,,,
b'009 Mega Blastoise Water  630 79 103 120 135 115 78',013 WeedleBug Poison 195 40 35 30 20 20 50,,,,,,,009 ,,,
b'010 CaterpieBug  195 45 30 35 20 20 45',014 KakunaBug Poison 205 45 25 50 25 25 35,,,,,,,010 ,,,
b'011 MetapodBug  205 50 20 55 25 25 30',015 BeedrillBug Poison 395 65 90 40 45 80 75,,,,,,,011 ,,,
b'012 ButterfreeBug Flying 395 60 45 50 90 80 70',015 Mega Beedrill Bug Poison 495 65 150 40 15 80 145,,,,,,,012 ,,,
b'013 WeedleBug Poison 195 40 35 30 20 20 50',016 PidgeyNormal Flying 251 40 45 40 35 35 56,,,,,,,013 ,,,
b'014 KakunaBug Poison 205 45 25 50 25 25 35',017 PidgeottoNormal Flying 349 63 60 55 50 50 71,,,,,,,014 ,,,
b'015 BeedrillBug Poison 395 65 90 40 45 80 75',018 Mega Pidgeot Normal Flying 579 83 80 80 135 80 121,,,,,,,015 ,,,
b'015 Mega Beedrill Bug Poison 495 65 150 40 15 80 145',018 PidgeotNormal Flying 479 83 80 75 70 70 101,,,,,,,015 ,,,
b'016 PidgeyNormal Flying 251 40 45 40 35 35 56',019 Rattata Alolan RattataDark Normal 253 30 56 35 25 35 72,,,,,,,016 ,,,
b'017 PidgeottoNormal Flying 349 63 60 55 50 50 71',019 RattataNormal  253 30 56 35 25 35 72,,,,,,,017 ,,,
b'018 Mega Pidgeot Normal Flying 579 83 80 80 135 80 121',020 Raticate Alolan RaticateDark Normal 413 75 71 70 40 80 77,,,,,,,018 ,,,
b'018 PidgeotNormal Flying 479 83 80 75 70 70 101',020 RaticateNormal  413 55 81 60 50 70 97,,,,,,,018 ,,,
b'019 Rattata Alolan RattataDark Normal 253 30 56 35 25 35 72',021 SpearowNormal Flying 262 40 60 30 31 31 70,,,,,,,019 ,,,
b'019 RattataNormal  253 30 56 35 25 35 72',022 FearowNormal Flying 442 65 90 65 61 61 100,,,,,,,019 ,,,
b'020 Raticate Alolan RaticateDark Normal 413 75 71 70 40 80 77',023 EkansPoison  288 35 60 44 40 54 55,,,,,,,020 ,,,
b'020 RaticateNormal  413 55 81 60 50 70 97',024 ArbokPoison  448 60 95 69 65 79 80,,,,,,,020 ,,,
b'021 SpearowNormal Flying 262 40 60 30 31 31 70',025 Pikachu Partner PikachuElectric  430 45 80 50 75 60 120,,,,,,,021 ,,,
