,sentence no,sentence,word,tag
0,1,Overview,Overview,OTHER
1,2,"Dragonite is a devastating sweeper with Supersonic Skystrike, capable of breaking through defensive staples like Clefable, Tapu Fini, Ferrothorn, and Gliscor after a Dragon Dance",Dragonite,B-POKEMON
2,2,"Dragonite is a devastating sweeper with Supersonic Skystrike, capable of breaking through defensive staples like Clefable, Tapu Fini, Ferrothorn, and Gliscor after a Dragon Dance",is,OTHER
3,2,"Dragonite is a devastating sweeper with Supersonic Skystrike, capable of breaking through defensive staples like Clefable, Tapu Fini, Ferrothorn, and Gliscor after a Dragon Dance",a,OTHER
4,2,"Dragonite is a devastating sweeper with Supersonic Skystrike, capable of breaking through defensive staples like Clefable, Tapu Fini, Ferrothorn, and Gliscor after a Dragon Dance",devastating,OTHER
5,2,"Dragonite is a devastating sweeper with Supersonic Skystrike, capable of breaking through defensive staples like Clefable, Tapu Fini, Ferrothorn, and Gliscor after a Dragon Dance",sweeper,OTHER
6,2,"Dragonite is a devastating sweeper with Supersonic Skystrike, capable of breaking through defensive staples like Clefable, Tapu Fini, Ferrothorn, and Gliscor after a Dragon Dance",with,OTHER
7,2,"Dragonite is a devastating sweeper with Supersonic Skystrike, capable of breaking through defensive staples like Clefable, Tapu Fini, Ferrothorn, and Gliscor after a Dragon Dance",Supersonic,B-MOVE
8,2,"Dragonite is a devastating sweeper with Supersonic Skystrike, capable of breaking through defensive staples like Clefable, Tapu Fini, Ferrothorn, and Gliscor after a Dragon Dance","Skystrike,",I-MOVE
9,2,"Dragonite is a devastating sweeper with Supersonic Skystrike, capable of breaking through defensive staples like Clefable, Tapu Fini, Ferrothorn, and Gliscor after a Dragon Dance",capable,OTHER
10,2,"Dragonite is a devastating sweeper with Supersonic Skystrike, capable of breaking through defensive staples like Clefable, Tapu Fini, Ferrothorn, and Gliscor after a Dragon Dance",of,OTHER
11,2,"Dragonite is a devastating sweeper with Supersonic Skystrike, capable of breaking through defensive staples like Clefable, Tapu Fini, Ferrothorn, and Gliscor after a Dragon Dance",breaking,OTHER
12,2,"Dragonite is a devastating sweeper with Supersonic Skystrike, capable of breaking through defensive staples like Clefable, Tapu Fini, Ferrothorn, and Gliscor after a Dragon Dance",through,OTHER
13,2,"Dragonite is a devastating sweeper with Supersonic Skystrike, capable of breaking through defensive staples like Clefable, Tapu Fini, Ferrothorn, and Gliscor after a Dragon Dance",defensive,OTHER
14,2,"Dragonite is a devastating sweeper with Supersonic Skystrike, capable of breaking through defensive staples like Clefable, Tapu Fini, Ferrothorn, and Gliscor after a Dragon Dance",staples,OTHER
15,2,"Dragonite is a devastating sweeper with Supersonic Skystrike, capable of breaking through defensive staples like Clefable, Tapu Fini, Ferrothorn, and Gliscor after a Dragon Dance",like,OTHER
16,2,"Dragonite is a devastating sweeper with Supersonic Skystrike, capable of breaking through defensive staples like Clefable, Tapu Fini, Ferrothorn, and Gliscor after a Dragon Dance","Clefable,",B-POKEMON
17,2,"Dragonite is a devastating sweeper with Supersonic Skystrike, capable of breaking through defensive staples like Clefable, Tapu Fini, Ferrothorn, and Gliscor after a Dragon Dance",Tapu,B-POKEMON
18,2,"Dragonite is a devastating sweeper with Supersonic Skystrike, capable of breaking through defensive staples like Clefable, Tapu Fini, Ferrothorn, and Gliscor after a Dragon Dance","Fini,",I-POKEMON
19,2,"Dragonite is a devastating sweeper with Supersonic Skystrike, capable of breaking through defensive staples like Clefable, Tapu Fini, Ferrothorn, and Gliscor after a Dragon Dance","Ferrothorn,",B-POKEMON
20,2,"Dragonite is a devastating sweeper with Supersonic Skystrike, capable of breaking through defensive staples like Clefable, Tapu Fini, Ferrothorn, and Gliscor after a Dragon Dance",and,OTHER
21,2,"Dragonite is a devastating sweeper with Supersonic Skystrike, capable of breaking through defensive staples like Clefable, Tapu Fini, Ferrothorn, and Gliscor after a Dragon Dance",Gliscor,B-POKEMON
22,2,"Dragonite is a devastating sweeper with Supersonic Skystrike, capable of breaking through defensive staples like Clefable, Tapu Fini, Ferrothorn, and Gliscor after a Dragon Dance",after,OTHER
